class,mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19
dog_bark,-275.1182,119.94202,-98.53286,-66.60548,-42.48642,0.40213037,-28.352808,-5.5097575,10.2289715,4.9934273,15.709276,0.21779108,-2.4716275,-1.3090203,-9.596349,0.060245182,3.033216,1.2753559,-5.5450125,-10.447482
children_playing,-500.9422,185.2791,-86.73012,50.013317,9.12933,22.648664,-3.6538,12.262982,7.6969147,-6.46875,16.996271,-6.642486,1.5052584,9.502501,0.75548536,2.9614024,2.782999,8.56454,-1.5735815,1.7530642
children_playing,-531.3129,187.20842,-70.58869,40.57582,9.024836,18.465755,6.2746043,15.512786,9.650081,-7.147046,16.22538,-5.7349725,-0.9110984,5.604236,0.85212517,7.364156,0.34205356,7.231574,0.22982496,-2.6516714
children_playing,-476.68835,160.30865,-62.98635,50.75118,-0.19557291,32.776165,-17.510292,24.72809,-3.8793783,-1.7680391,14.019302,-11.229858,6.296789,1.1470506,12.407727,-3.6147342,8.199722,0.75177443,-3.906926,6.736927
children_playing,-521.33887,185.59746,-82.17255,46.63329,11.783383,23.567127,4.2748327,13.634862,6.1199784,-2.869653,18.09688,-7.2678046,-2.843901,6.9187856,2.0521152,6.2888713,-0.9321129,10.584878,1.5751157,-1.2911648
children_playing,-516.52313,179.02605,-60.62988,47.805504,11.405507,20.92668,8.236518,13.239033,10.902902,-4.7799253,14.447383,-5.822021,3.3895926,4.577774,3.0236554,7.179672,0.5208128,7.246144,-2.3390121,-1.517622
children_playing,-547.25397,182.03786,-59.278522,53.36658,6.7795353,23.786201,6.91553,10.918057,7.776902,-4.0378265,13.999532,-4.7277193,1.70502,10.152875,1.2422552,8.28493,-0.9642527,5.574337,-1.372225,-2.3742282
children_playing,-534.93164,179.83087,-60.323063,52.31952,-0.23059365,19.593061,11.036361,15.301881,13.553228,-3.4491649,15.3396225,-4.0683537,2.7048228,5.823902,2.1011186,5.1030154,-2.2606864,6.554864,-2.3115473,-0.25355574
children_playing,-541.5011,186.2984,-59.69659,44.19129,15.95847,13.114977,14.2729645,12.914469,11.381509,-0.39525717,13.814213,-4.4134965,0.65506506,9.89751,2.0653527,5.476695,2.8694136,4.287398,-0.18765025,-0.35510755
air_conditioner,-119.52722,150.61382,-86.76193,51.243862,-12.146849,38.94472,-19.478456,31.35978,-10.667614,10.850493,-7.098677,3.3127334,-4.640589,3.8544793,-0.22163318,1.4100757,6.3842754,-5.795809,9.464822,-5.474033
air_conditioner,-119.48197,151.99724,-86.513,51.175034,-11.407362,39.146133,-18.70148,31.291265,-10.297272,9.9724865,-7.3011804,3.485396,-4.3553395,4.168665,-0.7852686,1.9220355,6.2043366,-5.043983,9.201365,-5.247738
air_conditioner,-112.51965,150.04193,-86.77644,55.290363,-13.636679,40.59501,-17.404102,27.165014,-8.186053,8.262962,-5.3327527,2.7891,-1.7198201,3.2838042,-0.6034566,1.9714327,6.374493,-5.337402,9.111039,-4.3333507
air_conditioner,-113.66277,150.01439,-87.035774,55.972694,-13.621748,40.280968,-16.966434,26.51738,-8.16462,7.949431,-4.742564,2.0134695,-1.650127,2.9201238,0.18262006,2.1727703,6.3299637,-5.370831,8.844369,-4.251716
air_conditioner,-121.13484,153.37592,-89.623436,56.95552,-14.761192,39.100906,-16.865608,27.273321,-7.9162207,6.8137426,-4.0570226,1.4254603,-0.5555303,1.4272037,0.799927,1.7289581,6.14149,-5.755362,9.046235,-4.3378687
air_conditioner,-126.57585,156.88809,-93.126335,59.57105,-17.127811,39.867542,-18.660145,28.818504,-8.558303,6.9382744,-4.041934,1.1277938,0.41731215,0.6373527,1.0027704,1.0048096,7.0078096,-5.949993,9.399192,-4.401369
air_conditioner,-124.75409,154.67365,-91.173454,58.056942,-14.890136,38.152504,-17.927715,27.3092,-7.756814,6.6879544,-3.3906922,0.34052306,0.5766176,0.7971758,0.7521702,1.1041379,6.8007765,-5.1493835,9.248048,-3.8844068
air_conditioner,-123.94304,155.45319,-91.2888,58.46938,-14.500301,39.25389,-17.991442,27.876534,-8.252531,7.257835,-3.3855424,0.48058718,-0.044644885,1.5114771,0.45184913,1.4569316,6.581482,-5.2064714,9.387345,-4.3507414
air_conditioner,-125.39724,156.85916,-93.1244,60.425488,-16.372087,41.37898,-18.897278,29.250744,-9.060904,7.444223,-3.5968785,0.83762205,-0.8445217,1.7357503,0.45151454,2.0818536,7.037691,-5.917015,9.577248,-4.631868
air_conditioner,-122.84466,154.0734,-89.70588,56.850285,-14.632778,38.35906,-16.94349,27.504375,-7.0573583,6.4343147,-2.2492073,0.8608117,-0.5968411,2.036184,0.58586884,2.531616,6.6725826,-5.3883843,9.037585,-4.2918677
air_conditioner,-122.60301,154.52167,-89.43623,55.59582,-14.928416,37.84101,-17.294123,27.091486,-6.4225974,7.0407143,-2.8085976,0.6133552,-0.4683876,2.038362,0.047026925,2.066224,6.0107207,-5.4796996,9.403633,-4.0913286
air_conditioner,-125.19969,158.15942,-92.43666,58.62157,-17.738825,39.832874,-18.931276,28.808798,-7.111215,8.305843,-3.7410522,0.6623076,-0.50331056,1.3681675,0.26291898,1.636919,6.2737007,-5.983752,9.937336,-4.506365
air_conditioner,-120.76062,153.18344,-86.931786,51.877155,-12.106861,39.319767,-19.094833,31.379925,-10.541712,10.356972,-7.5993195,2.959921,-4.6727147,4.771946,-0.611739,2.2645493,5.84157,-5.3574376,9.521305,-5.7543397
air_conditioner,-122.05274,153.16357,-89.560295,57.93467,-15.626424,39.47059,-16.82795,28.246365,-6.2156334,7.0219827,-3.4583602,1.4788707,-1.2156544,1.4462883,0.3337172,2.6267295,5.867465,-4.721398,8.803088,-3.774363
air_conditioner,-122.67763,152.402,-89.99471,58.947052,-14.904119,41.162193,-16.521898,27.9851,-6.7828126,6.56487,-4.0301538,1.2899929,-1.0625544,0.69268876,0.23731762,2.5653806,5.6453,-4.873768,9.069094,-3.801425
air_conditioner,-124.64411,154.84645,-90.25048,58.838478,-14.859749,41.18432,-16.696096,27.183237,-6.66965,7.3231125,-4.3352594,0.19572678,-0.5123161,-0.26394746,0.39676014,2.1268942,6.040264,-5.6617494,9.942711,-5.2471957
air_conditioner,-124.43369,154.45721,-89.61192,58.42143,-15.30467,41.194626,-17.531017,26.984802,-7.115932,8.05643,-5.529978,0.99662036,-1.570905,-0.0047317175,-0.74319804,2.1787078,5.8956747,-5.6614285,9.794017,-5.598602
air_conditioner,-123.70076,154.0812,-89.95259,58.00393,-14.531145,40.99517,-17.281977,26.102552,-6.286614,7.5788116,-5.006182,0.5064201,-0.77592546,0.03758733,-0.98802793,1.4873196,5.1369085,-5.695875,9.343361,-5.770861
air_conditioner,-122.66361,153.77301,-90.20831,58.462738,-14.458127,41.4438,-17.591541,25.979368,-6.1013446,7.8765306,-4.332593,-0.2489207,-0.4438142,-0.22858949,-0.6382658,0.94204366,4.634714,-5.497213,9.628968,-6.1478353
air_conditioner,-121.75471,152.69432,-88.20331,58.17472,-14.171218,40.32801,-17.013844,25.672628,-6.3605604,6.8476815,-4.5287995,-0.10836677,-0.8224891,-1.2862092,-0.8205332,0.99451286,4.4700484,-5.7746162,9.038778,-5.5622396
air_conditioner,-124.502075,155.36813,-89.84883,60.832146,-15.989054,42.252964,-17.809265,26.782251,-7.760823,6.679955,-5.4644694,0.30255327,-0.6761457,-1.6237644,-0.7744813,1.1414789,5.0043535,-6.799601,8.814322,-5.4636025
air_conditioner,-122.59703,152.7201,-87.45683,58.157066,-14.35304,40.446693,-15.550503,24.827154,-6.6403036,5.074606,-4.26311,-0.1962945,0.56847537,-1.8578671,-0.64771146,1.1953548,4.796914,-6.432478,8.472279,-4.9215913
air_conditioner,-119.15183,149.99243,-85.406815,57.338554,-14.6460085,39.949684,-16.076721,25.19073,-7.149863,5.72748,-4.7812643,1.5247748,-0.12181016,-1.4707361,-1.3003274,1.6704607,4.3197584,-6.2116423,7.755882,-5.13822
air_conditioner,-119.80824,152.4521,-85.85738,51.413467,-11.421483,38.612827,-17.967957,29.656878,-9.589371,9.680159,-6.741797,2.0694425,-4.186803,4.1052904,-0.3497417,1.6157167,6.3310165,-5.571589,9.972847,-5.552487
air_conditioner,-114.64744,147.5219,-84.738754,58.683083,-15.278437,41.825916,-17.468386,27.11307,-7.2708993,7.8407516,-5.5110364,3.196097,-0.9288811,0.1712113,-0.69607615,2.8187284,5.079968,-5.825882,8.450477,-4.5646873
air_conditioner,-118.960464,153.56296,-87.83954,53.400703,-12.546306,39.467907,-18.21871,28.729832,-9.325663,9.028812,-6.3352447,2.450395,-3.5559387,3.713628,-0.66853493,1.6353508,6.977776,-5.7905307,9.766722,-5.011058
air_conditioner,-117.937546,153.145,-88.40223,54.046383,-12.673059,38.952538,-17.52988,28.217793,-8.374655,8.604298,-5.4111404,1.8422197,-2.9998524,3.306267,-0.7484708,1.9820089,6.9269786,-6.416581,9.401798,-4.666327
air_conditioner,-118.4279,152.67693,-88.981735,54.801258,-13.359615,39.744774,-17.992607,28.30497,-9.021047,8.66853,-5.5086665,1.6675324,-3.1411972,3.217131,-0.7393613,1.633543,6.811772,-6.876019,9.4537325,-5.0278687
air_conditioner,-114.21995,148.28447,-87.65325,52.074223,-12.251845,39.21677,-16.343407,26.003187,-8.960375,6.7728543,-4.3417826,1.2935634,-3.4698024,3.0618577,-1.044144,1.752463,5.7581615,-5.755755,8.727101,-4.370037
air_conditioner,-114.55885,149.34117,-87.93753,52.316204,-12.93026,38.764225,-16.46144,25.825521,-8.441415,6.936165,-4.0693984,1.0067092,-2.9145865,2.8938532,-1.2009392,1.5861506,5.9301596,-5.8810525,8.777448,-4.340404
air_conditioner,-117.875046,153.37405,-89.40885,55.95392,-14.878572,40.5002,-18.38234,27.963377,-8.619196,8.549289,-5.739524,1.9143139,-2.1144218,3.0052557,-0.9245301,1.3840873,6.591317,-6.6483355,9.624826,-4.9916153
